zipcode,state,description,viewport
7820,NJ,Allamuchy,40.9232683802915:40.9205704197085:-74.8089921197085:-74.8116900802915
7821,NJ,Andover,41.0244039:40.9134869:-74.614808:-74.888036
7822,NJ,Augusta,41.176393:41.1115249:-74.6608009:-74.7472459
7823,NJ,Belvidere,40.879127:40.7734339:-74.9601439:-75.116193
7825,NJ,Blairstown,41.0945199:40.8713148:-74.843045:-75.0868859
7826,NJ,Branchville,41.2665849:41.124105:-74.6637079:-74.9029328
7827,NJ,Montague,41.357423:41.2189451:-74.6489791:-74.856909
7828,NJ,Budd Lake,40.9146719:40.8430111:-74.7074139:-74.8072109
7829,NJ,Buttzville,40.8313489802915:40.8286510197085:-75.0086510197085:-75.0113489802915
7830,NJ,Califon,40.7678609:40.6747159:-74.7159091:-74.8909878
7831,NJ,Changewater,40.7395976802915:40.7368997197085:-74.9427042197085:-74.9454021802915
7832,NJ,Columbia,41.0193479:40.839704:-75.002953:-75.1356399
7833,NJ,Delaware,40.898903:40.8883309:-75.0641661:-75.073879
7834,NJ,Denville,40.935156:40.833023:-74.4385679:-74.5335701
7836,NJ,Flanders,40.892973:40.811862:-74.6509861:-74.7685389
7837,NJ,Glasser,40.9733121302915:40.9706141697085:-74.6344257197085:-74.6371236802915
7838,NJ,Great Meadows,40.929418:40.8347781:-74.8429538:-74.987091
7839,NJ,Greendell,40.9740911802915:40.9713932197085:-74.8185950197085:-74.8212929802915
7840,NJ,Hackettstown,40.9442809:40.7997631:-74.7386948:-74.905348
7842,NJ,Hibernia,40.9500729:40.944755:-74.49303:-74.496801
7843,NJ,Hopatcong,40.9618919:40.9144:-74.634636:-74.685143
7844,NJ,Hope,40.912841:40.9022409:-74.9673309:-74.9756471
7845,NJ,Ironia,40.8233519802915:40.8206540197085:-74.6250520197085:-74.6277499802915
7846,NJ,Johnsonburg,40.970258:40.961959:-74.873283:-74.8831901
7847,NJ,Kenvil,40.902978:40.867063:-74.5990861:-74.6461609
7848,NJ,Lafayette,41.1756359:41.035609:-74.621576:-74.737609
7849,NJ,Lake Hopatcong,41.02126:40.9272701:-74.5230639:-74.6415551
7850,NJ,Landing,40.9232979:40.89059:-74.637782:-74.6943139
